,user,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages
47,https://www.facebook.com/brandon.middleton?ref=br_rs,Yahoo Style + Beauty : https://www.facebook.com/yahoostylebeauty/,We Are Cisco : https://www.facebook.com/WeAreCisco/,The Primary School : https://www.facebook.com/theprimaryschool/,Tim Wise : https://www.facebook.com/timjacobwise/,Michelle Alexander : https://www.facebook.com/Michelle-Alexander-168304409924191/,Hennessy : https://www.facebook.com/Hennessy-151076215266824/,,,,,,,
48,https://www.facebook.com/sathishbala?ref=br_rs,Congressman Eric Swalwell : https://www.facebook.com/CongressmanEricSwalwell/,Golden State Warriors on 247Sports : https://www.facebook.com/gswarriors247/,Bill Gates : https://www.facebook.com/BillGates/,Valentino Rossi VR46 Official : https://www.facebook.com/ValentinoRossiVR46Official/,Golden State Warriors : https://www.facebook.com/warriors/,Klay Thompson : https://www.facebook.com/KlayThompson/,Cleveland Cavaliers : https://www.facebook.com/Cavs/,Stephen Curry : https://www.facebook.com/StephenCurryOfficial/,,,,,
49,https://www.facebook.com/haas.oski?ref=br_rs,Yahoo : https://www.facebook.com/yahoo/,KAYAK : https://www.facebook.com/kayak/,National Geographic : https://www.facebook.com/natgeo/,Foursquare : https://www.facebook.com/foursquare/,priceline.com : https://www.facebook.com/priceline/,Orbitz : https://www.facebook.com/Orbitz/,Cond Nast Traveler : https://www.facebook.com/CondeNastTraveler/,Gilt.com : https://www.facebook.com/gilt/,Jetsetter : https://www.facebook.com/Jetsetter/,,,,
50,https://www.facebook.com/justinpeartJF?ref=br_rs,,,,,,,,,,,,,
51,https://www.facebook.com/tanvir.eman.5?ref=br_rs,,,,,,,,,,,,,
52,https://www.facebook.com/profcmunoz?ref=br_rs,SocialTimes : https://www.facebook.com/socialtimes/,Social Media Week : https://www.facebook.com/socialmediaweek/,Advertising Age : https://www.facebook.com/AdAge/,Diet Coke : https://www.facebook.com/DietCoke/,Caroline Munoz : https://www.facebook.com/caroline.munoz.56/,,,,,,,,
53,https://www.facebook.com/pietro.erbacci?ref=br_rs,Valentino Rossi VR46 Official : https://www.facebook.com/ValentinoRossiVR46Official/,,,,,,,,,,,,
54,https://www.facebook.com/kiruba?ref=br_rs,FilterCopy : https://www.facebook.com/FilterCopy/,Mithila Palkar : https://www.facebook.com/mipalkarofficial/,Ryan Holiday : https://www.facebook.com/ryanholiday/,Arianna Huffington : https://www.facebook.com/AriannaHuffington/,,,,,,,,,
55,https://www.facebook.com/amar.aujla2?ref=br_rs,Cal Bears : https://www.facebook.com/CalAthletics/,,,,,,,,,,,,
56,https://www.facebook.com/muluken.terefe?ref=br_rs,Ethiopian Airlines : https://www.facebook.com/Ethiopianairlines/,Global Teacher Prize : https://www.facebook.com/teacherprize/,,,,,,,,,,,
